"","sn","rugs_urlnames_full","url","DateAdded"
"280",280,"Gottingen-Software-Development-Meetup","https://www.meetup.com/Gottingen-Software-Development-Meetup/","October, 2019"
"281",281,"R-en-Rosario","https://www.meetup.com/R-en-Rosario/","October, 2019"
"282",282,"rladies-el-paso","https://www.meetup.com/rladies-el-paso/","October, 2019"
"283",283,"rladies-santa-barbara","https://www.meetup.com/rladies-santa-barbara/","October, 2019"
"284",284,"EdinbR","https://www.meetup.com/EdinbR/","October, 2019"
"285",285,"rladies-paris","https://www.meetup.com/rladies-paris/","October, 2019"
"286",286,"rladies-mendoza","https://www.meetup.com/rladies-mendoza/","October, 2019"
"287",287,"rladies-pasadena","https://www.meetup.com/rladies-pasadena/","October, 2019"
"288",288,"rladies-cincinnati","https://www.meetup.com/rladies-cincinnati/","October, 2019"
"289",289,"adminR","https://www.meetup.com/adminR/","October, 2019"
"290",290,"rladies-recife","https://www.meetup.com/rladies-recife/","October, 2019"
"291",291,"renbaires","https://www.meetup.com/renbaires/","October, 2019"
"292",292,"Munster-R-Users-Group","https://www.meetup.com/Munster-R-Users-Group/","October, 2019"
"293",293,"Akure-R-user-group","https://www.meetup.com/Akure-R-user-group/","October, 2019"
"294",294,"Bauchi-R-User-Group-BauchiRUG","https://www.meetup.com/Bauchi-R-User-Group-BauchiRUG/","October, 2019"
"295",295,"Dusseldorf-R-User-Group","https://www.meetup.com/Dusseldorf-R-User-Group/","October, 2019"
"296",296,"Bristol-R-User-Group","https://www.meetup.com/Bristol-R-User-Group/","October, 2019"
"297",297,"Use-R-INMEGEN-2019","https://www.meetup.com/Use-R-INMEGEN-2019/","October, 2019"
