"","X","name","city","country","region","members","fullurl","created","past_events","upcoming_events","visibility","last_event"
"72",72,"CopenhagenR - useR Group","Copenhagen","Denmark","Europe",1260,"https://www.meetup.com/CopenhagenR-useR-Group/","2013-09-03",33,1,"public","2019-09-26"
"74",74,"Gulf Coast useR Group (R Programming Language)","Biloxi","USA","US/Canada",33,"https://www.meetup.com/Gulf-Coast-useR-Group-R-Programming-Language/","2019-02-27",3,0,"public","2019-05-17"
"75",75,"Montreal R User Group","Montréal","Canada","US/Canada",1581,"https://www.meetup.com/Montreal-R-User-Group/","2012-03-13",37,0,"public","2017-05-31"
"76",76,"Zurich R User Group","Zürich","Switzerland","Europe",1624,"https://www.meetup.com/Zurich-R-User-Group/","2015-11-18",26,1,"public","2019-09-16"
"77",77,"Mastering R at MI^2","Warsaw","Poland","Europe",96,"https://www.meetup.com/Mastering-R-at-MI-2/","2018-11-06",1,0,"public","2018-12-03"
"78",78,"Grupo de Usuarios de R de Madrid","Madrid","Spain","Europe",2269,"https://www.meetup.com/Grupo-de-Usuarios-de-R-de-Madrid/","2015-02-20",39,0,"public","2019-09-18"
"79",79,"Winnipeg R User Group","Winnipeg","Canada","US/Canada",75,"https://www.meetup.com/Winnipeg-R-User-Group/","2018-11-03",3,0,"public","2019-09-28"
"80",80,"Applied R Munich","München","Germany","Europe",1155,"https://www.meetup.com/Applied-R-Munich/","2015-10-16",13,0,"public","2019-05-28"
"82",82,"Austin R User Group","Austin","USA","US/Canada",1644,"https://www.meetup.com/Austin-R-User-Group/","2012-01-16",50,0,"public","2019-06-11"
"83",83,"Inland Northwest R User Group (INRUG)","Spokane","USA","US/Canada",50,"https://www.meetup.com/Inland-Northwest-R-User-Group-INRUG/","2015-03-29",31,1,"public","2019-06-29"
"84",84,"Hong Kong R User Group","Hong Kong","Hong Kong","Asia",170,"https://www.meetup.com/Hong-Kong-R-User-Group/","2018-05-02",4,0,"public","2019-07-20"
"86",86,"Panama R User's Group","Panamá","Panama","Latin America",442,"https://www.meetup.com/Panama-R-Users-Group/","2017-02-13",17,0,"public","2019-09-14"
"87",87,"Sevilla R Users","Sevilla","Spain","Europe",532,"https://www.meetup.com/Sevilla-R-users/","2017-03-13",22,1,"public","2019-06-04"
"88",88,"Meetup de Grupo de Usuarios de R de Málaga","Málaga","Spain","Europe",114,"https://www.meetup.com/Meetup-de-Grupo-de-Usuarios-de-R-de-Malaga/","2019-02-15",6,0,"public","2019-09-26"
"89",89,"Greater Cleveland R Group","Independence","USA","US/Canada",673,"https://www.meetup.com/Cleveland-UseR-Group/","2012-01-16",58,2,"public","2019-09-25"
"90",90,"Portsmouth R User Group Meetup","Portsmouth","United Kingdom","Europe",131,"https://www.meetup.com/Portsmouth-R-User-Group/","2018-06-26",5,1,"public","2019-07-09"
"92",92,"Ann Arbor R User Group","Ann Arbor","USA","US/Canada",753,"https://www.meetup.com/Ann-Arbor-R-User-Group/","2014-05-26",57,1,"public","2019-08-14"
"93",93,"IndyUseR Group","Indianapolis","USA","US/Canada",518,"https://www.meetup.com/Indy-useR-Group/","2013-06-28",55,2,"public","2019-09-17"
"94",94,"Trenton R Users (TRU)","Trenton","USA","US/Canada",472,"https://www.meetup.com/TRUgroup/","2015-01-27",54,3,"public","2019-09-21"
"95",95,"Patra's R Users Group","Pátrai","Greece","Europe",122,"https://www.meetup.com/Patras-R-Users-Group/","2015-05-07",3,0,"public","2015-10-07"
"96",96,"ZagReb","Zagreb","Croatia","Europe",260,"https://www.meetup.com/zagreb-r-group/","2017-03-30",5,0,"public","2018-04-04"
"98",98,"R User Group Finland","Helsinki","Finland","Europe",253,"https://www.meetup.com/R-User-Group-Finland/","2015-08-31",1,0,"public","2015-09-30"
"99",99,"Campinas R Users Meetup","Campinas","Brazil","Latin America",324,"https://www.meetup.com/Campinas-R-Users-Meetup/","2014-11-19",10,0,"public","2015-11-18"
"100",100,"UVa R Users Group","Charlottesville","USA","US/Canada",587,"https://www.meetup.com/UVa-R-Users-Group/","2014-08-04",23,0,"public","2019-08-27"
"101",101,"Heredia R User Group","Heredia","Costa Rica","Latin America",187,"https://www.meetup.com/Heredia-R-User-Group/","2018-04-10",1,0,"public","2018-05-30"
